stkcode,headcount
'000725,40715
'601989,23680
'601766,22678
'601899,21356
'600795,20137
'600050,19606
'600030,18032
'601390,17582
'600010,16336
'601988,16218
'601857,15788
'601668,14860
'601600,14380
'600028,14231
'601985,13618
'601318,13267
'000100,13194
'002945,13038
'601398,13024
'000651,12642
'601169,12377
'600221,12284
'601298,12151
'601618,11672
'000001,11622
'000630,11262
'601288,11221
'600016,10753
'000157,10500
'601099,10461
'601866,10310
'600019,10109
'002948,10104
'601258,10084
'600031,10033
'000709,10020
'600839,10006
'601138,9873
'000063,9780
'600157,9709
'601939,9691
'601106,9545
'000413,9512
'600868,9457
'600111,9425
'601727,9102
'600022,9087
'601328,8647
'000166,8557
'603993,8449
'000629,8418
'600307,8362
'601919,8118
'002024,8064
'601669,8041
'600068,7962
'600089,7790
'000858,7789
'300104,7735
'601319,7728
'601186,7665
'600837,7421
'600601,7364
'600008,7327
'600401,7227
'600018,7152
'600219,7112
'600025,7096
'000425,7009
'002230,6996
'600516,6962
'601166,6940
'600567,6935
'002936,6932
'601558,6821
'600635,6800
'002340,6799
'000839,6713
'601377,6712
'600489,6605
'600863,6568
'000540,6562
'600036,6518
'002610,6514
'601333,6473
'002926,6470
'002797,6468
'000002,6421
'600518,6116
'600887,6068
'000783,6004
'300059,5980
'601901,5975
'601818,5967
'600808,5938
'600170,5903
'000338,5836
'601918,5805
'601991,5739
'600115,5705
'000778,5683
'600653,5659
'002195,5656
'002450,5616
'600487,5558
'600705,5512
'000750,5473
'000825,5465
'601018,5429
'600000,5405
'300315,5400
'601992,5390
'600029,5353
'000667,5338
'601880,5335
'000009,5330
'601168,5325
'600320,5318
'600166,5280
'002673,5279
'600100,5272
'600256,5240
'601088,5222
'600503,5214
'000735,5209
'601588,5187
'600919,5139
'600522,5126
'600415,5097
'000751,5096
'000031,5054
'601066,5021
'600497,4946
'600023,4943
'000875,4911
'000625,4908
'601998,4908
'600642,4896
'600255,4874
'600108,4840
'600690,4833
'600637,4831
'002460,4830
'000333,4823
'603077,4822
'600879,4798
'000598,4786
'000768,4771
'600820,4733
'601872,4719
'600703,4701
'002131,4687
'000977,4682
'600317,4656
'601211,4634
'601111,4631
'000060,4619
'600755,4533
'600369,4497
'600909,4461
'600901,4447
'601005,4438
'600886,4434
'601898,4416
'002466,4381
'002946,4355
'600485,4353
'600873,4353
'000683,4347
'002405,4345
'002415,4319
'601212,4318
'002456,4313
'002027,4311
'600039,4310
'600048,4270
'002938,4252
'601179,4225
'600547,4223
'000066,4195
'600017,4188
'000656,4187
'600118,4185
'600460,4181
'000930,4173
'000078,4168
'300024,4154
'600309,4152
'600895,4150
'000897,4147
'000682,4136
'000983,4126
'002477,4121
'600958,4115
'000727,4114
'600362,4109
'600252,4092
'601975,4083
'601009,4077
'600959,4072
'002465,4069
'600435,4068
'600187,4033
'600210,4001
'601118,3996
'601688,3995
'002031,3992
'000807,3965
'600282,3963
'600169,3958
'000776,3956
'002505,3945
'601229,3943
'002500,3942
'601718,3942
'000882,3932
'600109,3902
'000767,3892
'300027,3878
'601933,3874
'000005,3857
'601006,3818
'002129,3813
'601000,3812
'600352,3810
'600737,3805
'603799,3786
'300185,3780
'600033,3776
'600276,3773
'601010,3766
'601800,3725
'601375,3703
'000886,3696
'000027,3687
'002176,3680
'000680,3673
'002498,3660
'000758,3651
'600711,3651
'600151,3650
'600495,3646
'600006,3637
'600606,3621
'600177,3621
'600577,3614
'000830,3603
'000917,3587
'600150,3575
'600871,3575
'600550,3570
'002185,3558
'601628,3542
'000878,3523
'600220,3503
'000933,3487
'601519,3485
'000717,3483
'600027,3482
'600496,3474
'601228,3472
'600875,3470
'002506,3468
'600726,3461
'002266,3455
'601890,3455
'000931,3431
'600797,3428
'002407,3428
'300017,3421
'601108,3420
'000571,3402
'000816,3400
'601216,3398
'600881,3390
'002280,3386
'600595,3374
'600015,3369
'601608,3362
'601011,3360
'002310,3355
'002241,3349
'300759,3347
'600717,3343
'000898,3338
'600021,3334
'002049,3333
'600583,3333
'000401,3331
'000410,3318
'002202,3314
