stkcode,headcount
'000725,44670
'002958,26891
'601989,25673
'601766,23338
'601899,20698
'600795,19905
'600030,19886
'600050,19423
'601390,18214
'600010,17515
'601857,16293
'601668,16046
'601988,15923
'000100,15434
'600028,14357
'601985,13823
'601600,13753
'601398,13752
'601099,12699
'601169,12506
'600221,12344
'601618,12178
'000630,11753
'601318,11485
'601288,11427
'000651,11161
'600016,10920
'600839,10798
'601258,10688
'600157,10474
'601866,10102
'600019,10021
'000001,10019
'000157,10002
'000166,9844
'000063,9756
'601106,9720
'600031,9701
'000413,9698
'000709,9617
'601939,9410
'600022,9304
'600868,9277
'002065,9167
'600111,9115
'601066,9089
'601328,9049
'601727,9032
'603993,8546
'601186,8507
'600307,8423
'300059,8291
'000629,8290
'601138,8285
'601669,8152
'600837,8102
'002024,8102
'600089,8083
'600068,8066
'601919,7963
'600518,7824
'002195,7653
'002230,7615
'300104,7467
'002500,7446
'600219,7421
'600567,7349
'601319,7282
'000839,7276
'600601,7233
'600401,7229
'002610,7200
'002131,7105
'600516,7094
'601377,7078
'600008,7057
'600635,7010
'601333,6704
'002797,6668
'000540,6629
'601558,6610
'002340,6563
'600018,6553
'600489,6499
'601166,6395
'600863,6364
'600487,6363
'000425,6334
'000783,6255
'600705,6211
'600025,6177
'601818,6170
'000002,6116
'000858,6111
'000727,6061
'600808,6025
'600887,5990
'601901,5969
'600352,5947
'002027,5860
'600170,5801
'600036,5785
'601519,5739
'000338,5666
'601991,5648
'600797,5629
'601018,5621
'000750,5594
'002673,5557
'600522,5529
'600000,5529
'000778,5479
'300315,5466
'600653,5450
'601880,5436
'600503,5422
'601918,5359
'601588,5357
'601088,5346
'600320,5342
'000625,5340
'601688,5328
'002926,5321
'002600,5314
'000825,5310
'300017,5262
'000009,5247
'600637,5244
'600879,5230
'600256,5223
'600255,5198
'600108,5184
'601992,5178
'601168,5168
'000667,5152
'600166,5133
'601998,5124
'600369,5085
'600415,5080
'600115,5057
'000751,5055
'000060,5046
'601211,5020
'000735,5019
'600100,4996
'000031,4992
'000875,4987
'000066,4961
'600497,4938
'600023,4917
'002456,4914
'002460,4886
'000977,4855
'600690,4846
'600029,4843
'000563,4842
'002450,4832
'600919,4817
'000768,4785
'600703,4775
'002936,4772
'600909,4767
'603077,4766
'000598,4759
'600642,4740
'600460,4707
'600895,4682
'600776,4646
'600317,4646
'000776,4629
'000683,4621
'601212,4605
'601872,4512
'600820,4509
'002415,4509
'600958,4508
'601005,4498
'600886,4482
'601608,4471
'002477,4468
'601179,4460
'000682,4443
'600755,4434
'000882,4418
'600109,4412
'000078,4404
'600104,4387
'601890,4365
'600485,4355
'002505,4306
'601898,4298
'600547,4290
'600048,4286
'600017,4272
'000333,4270
'000932,4244
'600039,4242
'601108,4218
'002031,4214
'300024,4193
'600816,4166
'002185,4152
'600435,4151
'600118,4143
'601718,4122
'601006,4119
'600873,4116
'000897,4110
'601229,4106
'002466,4100
'603799,4073
'600027,4073
'600604,4072
'000656,4070
'002465,4067
'000983,4057
'600362,4049
'000807,4049
'600928,4049
'600252,4031
'002202,4015
'600187,4014
'000930,4004
'600959,3995
'300185,3994
'600309,3973
'601375,3963
'601111,3945
'601800,3943
'601000,3920
'000917,3919
'600210,3909
'601010,3884
'600169,3883
'600282,3876
'000636,3874
'002405,3863
'000767,3859
'600624,3855
'002292,3854
'600276,3831
'601216,3828
'000005,3825
'601975,3801
'000021,3763
'002130,3743
'000830,3740
'600901,3740
'601838,3736
'002948,3702
'002008,3690
'002498,3689
'600177,3675
'600033,3672
'000758,3665
'600220,3661
'600006,3655
'600577,3627
'002506,3624
'600151,3620
'002310,3616
'600176,3604
'000680,3594
'000027,3594
'002176,3589
'600711,3580
'600737,3575
'601118,3573
'000878,3559
'601933,3557
'601611,3552
'601009,3551
'600572,3551
'300027,3543
'601878,3531
'600495,3526
'002177,3520
'000886,3519
'002280,3517
'000898,3507
'000652,3499
'601881,3488
'600072,3463
'000717,3462
'600196,3460
'601228,3442
'002266,3442
'600606,3436
'600496,3434
'600664,3431
'000931,3412
'600015,3406
'002241,3405
'600726,3402
'300079,3400
'000571,3398
'002129,3381
'600881,3379
'601298,3377
'600875,3375
'600550,3375
'000933,3366
'600871,3350
'600528,3349
'600021,3343
'600150,3341
'600425,3341
'000516,3313
'601700,3308
'601008,3297
'002407,3288
'601162,3278
'600428,3277
'600595,3276
'600103,3264
'601628,3247
'000959,3241
'000816,3240
'600999,3235
'000520,3232
'002385,3223
'600380,3210
'601011,3208
'600717,3208
'000686,3205
'000883,3201
'000507,3200
'601016,3187
'002736,3187
'000488,3184
'600649,3180
'000670,3177
'600583,3177
'601326,3175
'002013,3168
'600175,3164
'000572,3160
'000410,3153
'000547,3149
'000415,3141
'600584,3136
'002421,3124
'600153,3124
'600410,3117
'600698,3111
'002252,3110
'600611,3110
'002663,3107
'000723,3101
'600569,3081
'600789,3077
'000050,3072
'600777,3072
'601128,3067
'601788,3051
'300111,3041
'000793,3041
'000616,3041
'000592,3040
